Index_df1	Score_df1	ncbi_gene_id_df1	claim_name	Index_df2	Score_df2	ncbi_gene_id_df2	score_ratio
2620	0.00039261470252754336	1407	CRY1	2620	0.00016757436112274822	1407	2.342928237333115
933	0.00039261470252754336	40	ASIC2	933	0.00016757436112274822	40	2.342928237333115
2806	0.00039261470252754336	119678	OR52E2	2806	0.00016757436112274822	119678	2.342928237333115
85	0.0035669502399443853	1576	CYP3A4	85	0.0016531530582331233	1576	2.157664846688009
991	0.001310083881082238	3107	HLA-C	991	0.0006335133566940343	3107	2.0679656825530275
462	0.0012676115143978926	10	NAT2	462	0.0006335133566940343	10	2.000923107624559
47	0.0025666435999706326	1559	CYP2C9	47	0.001340534535261255	1559	1.9146419077300554
990	0.0009187551493805507	54577	UGT1A7	990	0.0004801928840946162	54577	1.9133043820772677
989	0.0009187551493805507	54578	UGT1A6	989	0.0004801928840946162	54578	1.9133043820772677
969	0.0009187551493805507	54576	UGT1A8	969	0.0004801928840946162	54576	1.9133043820772677
1000	0.0009187551493805507	54600	UGT1A9	1000	0.0004801928840946162	54600	1.9133043820772677
907	0.0009187551493805507	54575	UGT1A10	907	0.0004801928840946162	54575	1.9133043820772677
190	0.0008337013533349876	7124	TNF	190	0.0004801928840946162	7124	1.736180149580719
476	0.0010184856626819438	54657	UGT1A4	476	0.0006335133566940343	54657	1.6076782784768313
929	0.0009334318666363807	3106	HLA-B	929	0.0006335133566940343	3106	1.47342097332795
817	0.0009334318666363807	5617	PRL	817	0.0006335133566940343	5617	1.47342097332795
949	0.0013539021786401616	54658	UGT1A1	949	0.000946131879665902	54658	1.430986744805863
2212	0.0008277617317871543	2289	FKBP5	2212	0.0006335133566940343	2289	1.3066208045033145
545	0.0008277617317871543	4915	NTRK2	545	0.0006335133566940343	4915	1.3066208045033145
97	0.003569900360391789	1544	CYP1A2	97	0.0027349962087579232	1544	1.305267023391243
820	0.00179797767381478	1543	CYP1A1	820	0.0014097536879832016	1543	1.2753842668693232
605	0.001171969227246639	2904	GRIN2B	605	0.000946131879665902	2904	1.238695421256162
61	0.001171969227246639	3952	LEP	61	0.000946131879665902	3952	1.238695421256162
935	0.0016923075389655535	9135	RABEP1	935	0.0014097536879832016	9135	1.2004278147245526
934	0.0016923075389655535	25970	SH2B1	934	0.0014097536879832016	25970	1.2004278147245526
393	0.0019726461281913514	4524	MTHFR	393	0.001804156343578554	4524	1.0933897914182964
1071	0.0006879126728416631	3351	HTR1B	1071	0.0006311961694400474	3351	1.0898555887180534
2610	0.000502990877080966	7082	TJP1	2610	0.0004801928840946162	7082	1.0474767405796412
4602	0.000502990877080966	64067	NPAS3	4602	0.0004801928840946162	64067	1.0474767405796412
119	0.000502990877080966	154	ADRB2	119	0.0004801928840946162	154	1.0474767405796412
828	0.000502990877080966	7298	TYMS	828	0.0004801928840946162	7298	1.0474767405796412
957	0.000502990877080966	2895	GRID2	957	0.0004801928840946162	2895	1.0474767405796412
822	0.000502990877080966	1545	CYP1B1	822	0.0004801928840946162	1545	1.0474767405796412
1704	0.000502990877080966	4908	NTF3	1704	0.0004801928840946162	4908	1.0474767405796412
1018	0.000502990877080966	8792	TNFRSF11A	1018	0.0004801928840946162	8792	1.0474767405796412
835	0.000502990877080966	51738	GHRL	835	0.0004801928840946162	51738	1.0474767405796412
2248	0.000502990877080966	6347	CCL2	2248	0.0004801928840946162	6347	1.0474767405796412
173	0.000502990877080966	23043	TNIK	173	0.0004801928840946162	23043	1.0474767405796412
594	0.000502990877080966	53353	LRP1B	594	0.0004801928840946162	53353	1.0474767405796412
4767	0.000502990877080966	27068	PPA2	4767	0.0004801928840946162	27068	1.0474767405796412
674	0.000502990877080966	2913	GRM3	674	0.0004801928840946162	2913	1.0474767405796412
2245	0.000502990877080966	2917	GRM7	2245	0.0004801928840946162	2917	1.0474767405796412
4674	0.000502990877080966	116987	AGAP1	4674	0.0004801928840946162	116987	1.0474767405796412
720	0.000502990877080966	3064	HTT	720	0.0004801928840946162	3064	1.0474767405796412
4766	0.000502990877080966	345222	MSANTD1	4766	0.0004801928840946162	345222	1.0474767405796412
4117	0.000502990877080966	23671	TMEFF2	4117	0.0004801928840946162	23671	1.0474767405796412
2012	0.000502990877080966	10213	PSMD14	2012	0.0004801928840946162	10213	1.0474767405796412
2068	0.0012381161888205502	4922	NTS	2068	0.0011872140626618373	4922	1.0428752722525758
508	0.0009114906523635991	8856	NR1I2	508	0.0008745955396899692	8856	1.042185342823391
162	0.0008990806870227103	367	AR	162	0.0008674730831218732	367	1.0364364088244529
1694	0.0009026996728623324	3308	HSPA4	1694	0.0008745955396899692	3308	1.0321338629080201
359	0.0009026996728623324	5243	ABCB1	359	0.0008745955396899692	5243	1.0321338629080201
1664	0.001131850681602541	5563	PRKAA2	1664	0.001097135165011333	5563	1.0316419687366862
4654	0.00016757436112274822	4968	OGG1	4654	0.00016757436112274822	4968	1.0
4655	0.00016757436112274822	5023	P2RX1	4655	0.00016757436112274822	5023	1.0
4656	0.00016757436112274822	54802	TRIT1	4656	0.00016757436112274822	54802	1.0
4642	0.00016757436112274822	2496	FTH1P1	4642	0.00016757436112274822	2496	1.0
4762	0.00016757436112274822	55507	GPRC5D	4762	0.00016757436112274822	55507	1.0
4657	0.00016757436112274822	219541	MED19	4657	0.00016757436112274822	219541	1.0
4653	0.00016757436112274822	6041	RNASEL	4653	0.00016757436112274822	6041	1.0
4652	0.00016757436112274822	10499	NCOA2	4652	0.00016757436112274822	10499	1.0
4651	0.00016757436112274822	25885	POLR1A	4651	0.00016757436112274822	25885	1.0
4650	0.00016757436112274822	11214	AKAP13	4650	0.00016757436112274822	11214	1.0
4658	0.00016757436112274822	6509	SLC1A4	4658	0.00016757436112274822	6509	1.0
4643	0.00016757436112274822	2698	GJA1P1	4643	0.00016757436112274822	2698	1.0
4641	0.00016757436112274822	1448	CSN3	4641	0.00016757436112274822	1448	1.0
4648	0.00016757436112274822	79822	ARHGAP28	4648	0.00016757436112274822	79822	1.0
4632	0.00016757436112274822	5055	SERPINB2	4632	0.00016757436112274822	5055	1.0
4626	0.00016757436112274822	27327	TNRC6A	4626	0.00016757436112274822	27327	1.0
4627	0.00016757436112274822	693167	MIR582	4627	0.00016757436112274822	693167	1.0
4628	0.00016757436112274822	374378	GALNT18	4628	0.00016757436112274822	374378	1.0
4629	0.00016757436112274822	4868	NPHS1	4629	0.00016757436112274822	4868	1.0
4630	0.00016757436112274822	23495	TNFRSF13B	4630	0.00016757436112274822	23495	1.0
4631	0.00016757436112274822	2992	GYG1	4631	0.00016757436112274822	2992	1.0
4633	0.00016757436112274822	4144	MAT2A	4633	0.00016757436112274822	4144	1.0
